id,status_before,outcome_before,triage,review_scope,claim_before,evidence
production-equal-weight-symmetric,adopted,selected,risk_preference_adoption,deployment or foundation source checked,用户 2026-09-09 风险偏好裁决：空头腿同秤日频含贴水 Sharpe 0.67/年化13.2%/12年11年为正/崩盘年2015+28%·2018+48%·2022+32%；对称年化39.0% vs long-flat 25.8%，回撤−27% vs −17%，换手翻倍。按贴水阈值过滤空头反而变差（alpha 住在高贴水区间）。,output/recommended/equal_weight_symmetric.csv | backtest/output/short_leg_audit.json | backtest/output/probe_1a_paired_bootstrap.csv
production-slope20-fourth-line,adopted,selected,risk_preference_adoption,deployment or foundation source checked,用户 2026-09-09 裁决。同秤日频含贴水：对称 1.41/年化36.5%/回撤−32%，多头腿 1.42，空头腿 0.62（12年8正，崩盘年+59%/+35%/+39%）；验证窗 2021-23 对称 1.84 vs 现役 1.26，holdout 2024-26 1.08 vs 1.51，全窗平手——现役同一根轴的慢档，各赢一段行情。,output/recommended/slope20_symmetric.csv | output/slope20/slope20_signal_L20zw120.csv
production-equal-weight-long-flat,closed,selected,risk_preference_adoption,deployment or foundation source checked,采用理由是回撤、换手和生产风险形态，而非统计意义上的全面最优。,backtest/output/probe_1a_paired_bootstrap.csv | backtest/output/probe_exec_price_summary.json
mapping-grid-32,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,"以long-flat为参照、②换手不高于现役③MaxDD不劣于−16.7%为风险形态支配要求时，网格内无候选三项全中（加空腿22/24抬换手，用滞回压换手则压Sharpe）。2026-09-09复审：②③是偏好项非收益判据；现役已切对称，以对称(0,0,−1)为参照重算，半仓空头(0,0,−0.5)五窗Sharpe全高（full 1.636 vs 1.412）、MaxDD浅10pp（−19.1% vs −29.3%）、换手低25%，只输年化（31.0% vs 35.8%）——是对称部署的中间档，待用户裁。",backtest/output/probe_1b_mapping_verdict.csv | backtest/output/probe_1b_mapping_summary.json
divergence-probe,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,指定背离候选未通过替换或增量门槛。,backtest/output/probe_2_divergence_verdict.csv | backtest/output/probe_2_divergence_summary.json
fusion-slope20,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,指定融合候选没有提供足以替换现役的稳健增量。,backtest/output/probe_3_fusion_verdict.csv
pair-set,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,冻结候选集均未形成可部署增量。,backtest/output/probe_5_pairset_verdict.csv | backtest/output/probe_5b_dividend_partner_verdict.csv
conditional-modulation,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,指定条件调制候选未通过增量门槛。,backtest/output/probe4_conditional_verdict.csv
fund-crowding,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,预登记拥挤候选未形成生产可用增量。,backtest/output/probe_7_fund_crowding_verdict.csv | backtest/output/probe_7_fund_crowding_summary.json
mian2-cross-section,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,指定横截面候选未通过增量门槛。,backtest/output/probe_xsection_verdict.csv | backtest/output/probe_xsection_summary.json
dual-channel,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,两种正式秤均为STOP，当前候选不进入生产。,backtest/output/dual_channel_formal_verdict.json | backtest/output/dual_channel_ic_verdict.json
staged-entry,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,"已测分批建仓规格（26点：5种快腿×固定慢腿sm5×固定权重）没有形成替换现役的证据。2026-09-09复审：文档「机制被证伪」过宽——四条快腿worst(train,val)均高于现役（1.01~1.17 vs 1.00），只在全窗/训练窗/holdout及回撤换手上劣，且只在long-flat口径测过。",backtest/output/staged_entry_probe.csv | backtest/output/staged_entry_sweep_threshold.csv
family-unification,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,指定统一规格未提供可部署增量。,backtest/output/family_unification_verdict.json
threshold-and-microcap-grids,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,已测网格没有产生足以替换现役的稳健配置。,backtest/output/threshold_selection_verdict.json | backtest/output/joint_grid_verdict.json | backtest/output/param_stability_probe.csv
tail-fifth-bucket,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,当前架构下尾部增量不可辨认，正式结果维持STOP。,backtest/output/runs/20260826T183948-p0-revalidation-ac11b3c/outputs/fifth_bucket_verdict.json
geometric-five-bucket,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,当前实现下两种划法不可辨认，正式结果维持STOP。,backtest/output/runs/20260826T183948-p0-revalidation-ac11b3c/outputs/geo5_verdict.json
axes-batch-1,closed,all_fail,no_positive_final_verdict,registry screened; no numerical reanalysis,四轴均未过闸，当前功效下ALL_FAIL。,backtest/output/runs/20260826T222036-axes-ticket-ecf1907/outputs/axis_ticket_verdict.json
axes-batch-2-quality,closed,all_fail,no_positive_final_verdict,registry screened; no numerical reanalysis,质量轴未过闸，当前功效下ALL_FAIL。,backtest/output/runs/20260826T223022-axes-ticket-06776ab/outputs/axis_ticket_verdict.json
dual-engine-v1,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,已测v1候选（θ=0.30非对称阈值+贴水≥6%禁空的门控空头引擎）停止推进：修复carry后blend/full 双引擎1.12 < long 1.28 < 对称原始1.42（dual_engine_metrics.csv）。2026-09-09复审：门控先验被证伪为反向（按贴水阈值过滤空头反而变差，alpha住在高贴水区），未门控空头段本身为正（07-11 baseline 0.48；09-09日频含贴水0.67/年化13.2%）。,backtest/output/dual_engine_metrics.csv | backtest/output/short_leg_audit.json
breadth-divergence,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,冻结候选停止推进。,backtest/output/breadth_divergence_metrics.csv
leverage-probe,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,已测两融候选未过闸。,backtest/output/leverage_probe_verdicts.csv
thermo-probe,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,指定温度候选未过闸。,backtest/output/thermo_probe_verdicts.csv
rotation-short-window,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,指定短窗轮动命题停止推进。,backtest/output/rotation_probe.csv
long-axes-probes,closed,all_fail,no_positive_final_verdict,registry screened; no numerical reanalysis,已测长轴候选在冻结门槛下均未通过。,backtest/output/long_axes_probe_verdicts.csv | backtest/output/erp_probe_verdicts.csv
momentum-transform,closed,stop,no_positive_final_verdict,registry screened; no numerical reanalysis,替代候选未过更换主信号门槛。,backtest/output/momentum_head2head.csv
