id,subject,method,evidence,finding,action
P1,equal_weight symmetric deployment,risk preference; paired bootstrap descriptive,2026-09-09-deploy-symmetric-equal-weight-decision.md,Deployment explicitly not a statistical superiority verdict.,Retain adoption record; no claim of calibrated alpha or superiority.
P2,slope20 deployment,risk preference; historical return comparison,2026-09-09-deploy-slope20-fourth-line-decision.md,Deployed L20/zw120/sm0; earlier L20/zw40/sm5 p-values concern another variant.,"Retain adoption record; history reused, superiority unconfirmed."
P3,equal_weight long-flat,risk preference,research_registry.yaml: production-equal-weight-long-flat,Superseded mapping; not selected on corrected p<0.05.,Retain historical adoption record.
P4,B1 replication,"correlation acceptance, no prediction null",output/style_basket/validation_all.csv,Committed validation file exists; U0-U3 daily signal correlations 0.878..0.906. Previous missing-artifact caveat false.,Retain limited replication PASS; repair evidence link. Does not prove all data PIT-correct.
P5,Gate 0R foundation,frozen anchor and drift acceptance,20260826T183948-p0-revalidation-ac11b3c/outputs/gate0r_result.json,pass=true; rho 0.8022/0.7966/0.9698. No min-P/max-T discovery decision.,Retain PASS for this frozen data/specification only.
D1,08-12 equal_weight demo,"selection rotation; worst(train,val) Sharpe",selection_permutation_demo_summary.json,"p_selected=0.006993; winner lb20/zw100/sm0, not deployed lb20/zw40/sm5.",Withdraw deployed-point selection-proof wording; diagnostic only pending relevant calibration.
D2,09-03 incumbent grid,selection rotation; absolute rank IC,gate0_incumbent_audit.json; gate0_reanalysis_summary.csv,min-P=0.012987 belongs k10 winner; deployed k20 has min-P=0.154845/V1=0.130869.,No calibrated positive inference; deployment or repeated old windows not independent proof.
D3,F1 representative and V3,single representative rotation; later partial-IC grid,money_flow_axis_probe_verdicts.csv; gate0_reanalysis_summary.csv,k20 IC p=.001998/partial p=.002997; V1 min-P=.070929; V3=.039960.,Demote confirmed increment to sample association; retain STOP and full-phase/replication caveats.
D4,F1 grid winner,selection rotation; absolute rank IC,money_flow_axis_selection.json,"k40 winner IC=.418836; max-T=.004995/min-P=.019980, distinct from k20 representative.",Diagnostic only; do not transfer winner p to frozen representative.
D5,O2 representative and grid,probe rotation + selection rotation,option_axis_probe_verdicts.csv; option_axis_selection.json,Probe PASS True is partial; representative p=.254745; different winner p=.043956/min-P=.233766.,Retain STOP; no confirmed independent information and no proof of no information.
D6,B2 pure versus mixed IC,point estimates; no paired IC-difference test,signals/style_basket/decompose.py; output/style_basket/decomposition_U2.csv,IC .179 versus .126 are levels; code computes correlations without difference CI or p.,Withdraw significant improvement claim; keep descriptive ranking and no-switch decision.
D7,early slope and baseline/B2 p-values,"bootstrap_pvalue is circular position shift, not paired difference",backtest/significance.py; 2026-07-10-momentum-transform-scan-design.md,"p<=.002/.004 test each strategy versus shifted itself; no superiority test, no full search calibration.",Historical diagnostics only; current slope uses a different exact specification.
M1,08-12 synthetic calibration,independent stationary/circular null,2026-08-12-selection-permutation-machine.md section 4,Actual independent generated calibration; differs from 09-03 pool rank exercise.,Retain within tested mechanisms; not a guarantee on nonstationary finance/Sharpe grids.
M2,09-03 calibration guarantee,same-pool rank exercise,2026-09-03-gate0-criterion-argument.md,Does not validate source-series exchangeability; independently refuted 09-14.,Withdraw universal min-P default and guarantee; historical algorithm frozen.
